125	1
1	2
1	3
3	4
3	5
5	6
1	7
7	8
8	9
14	10
14	11
8	12
8	13
9	14
34	15
15	16
15	17
13	18
18	19
19	20
18	21
21	22
21	23
23	24
23	25
25	26
26	27
25	28
28	29
29	30
26	31
31	32
27	33
13	34
116	35
35	36
36	37
36	38
38	39
35	40
40	41
40	42
42	43
42	44
44	45
45	46
44	47
47	48
47	49
49	50
50	51
121	52
52	53
53	54
54	55
55	56
54	57
57	58
58	59
57	60
60	61
60	62
62	63
63	64
64	65
65	66
119	67
67	68
68	69
69	70
70	71
67	72
72	73
73	74
74	75
72	76
76	77
77	78
78	79
78	80
80	81
81	82
82	83
81	84
84	85
76	86
86	87
87	88
87	89
89	90
89	91
91	92
91	93
93	94
93	95
95	96
67	97
97	98
98	99
99	100
124	101
101	102
102	103
103	104
101	105
105	106
106	107
105	108
108	109
109	110
110	111
110	112
112	113
113	114
30	115
18	116
108	117
117	118
60	119
61	120
13	121
100	122
51	123
97	124
54	94
117	123
125	95
125	115
125	122
