1	7	8	13	18	21	23	25	28	29	30	115	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	35	40	42	44	47	49	50	51	52	53	54	72	76	86	87	89	91	93	94	97	101	105	108	116	117	121	123	124	125	126	0	0	0	0	0	0	0	0	0	0	0	0
57	60	67	72	76	86	87	89	91	93	94	119	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	7	8	13	18	35	40	42	44	47	49	50	51	72	76	86	87	89	91	93	95	97	101	105	108	116	117	123	124	126	127	0	0	0	0	0	0	0	0	0	0	0	0
18	35	40	42	44	47	49	50	51	52	53	54	57	60	67	97	101	105	108	116	117	119	121	123	124	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	7	8	13	18	35	40	42	44	47	49	50	51	57	60	67	94	95	97	101	105	108	116	117	119	123	124	125	126	127	0	0	0	0	0	0	0	0	0	0	0	0	0
1	7	8	13	18	35	40	42	44	47	49	50	51	98	99	100	101	105	108	116	117	122	123	124	126	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	7	8	13	52	53	54	57	60	67	72	76	86	87	89	91	93	95	119	121	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	7	8	13	52	53	54	57	60	67	97	98	99	100	119	121	122	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	7	8	13	18	21	23	25	28	29	30	35	40	42	44	47	49	50	51	52	53	54	57	60	67	97	101	105	108	115	116	117	119	121	123	124	126	128	0	0	0	0	0
1	7	8	13	52	53	54	72	76	86	87	89	91	93	94	97	98	99	100	121	122	125	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	7	8	13	18	21	23	25	28	29	30	35	40	42	44	47	49	50	51	52	53	54	72	76	86	87	89	91	93	94	97	101	105	108	115	116	117	121	123	124	125	126	128
1	7	8	13	52	53	54	94	95	121	125	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72	76	86	87	89	91	93	95	97	98	99	100	122	127	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	23	25	28	29	30	35	40	42	44	47	49	50	51	72	76	86	87	89	91	93	95	97	101	105	108	115	116	117	123	124	126	127	128	0	0	0	0	0	0	0	0	0
18	21	23	25	28	29	30	52	53	54	57	60	67	72	76	86	87	89	91	93	95	115	119	121	127	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	35	40	42	44	47	49	50	51	52	53	54	57	60	67	72	76	86	87	89	91	93	95	97	98	99	100	101	105	108	116	117	119	121	122	123	124	126	127	129	0	0	0
18	21	23	25	28	29	30	52	53	54	94	95	115	121	125	127	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	35	40	42	44	47	49	50	51	52	53	54	94	95	98	99	100	101	105	108	116	117	121	122	123	124	125	126	127	129	0	0	0	0	0	0	0	0	0	0	0	0	0
57	60	67	94	95	97	98	99	100	119	122	125	127	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	23	25	28	29	30	35	40	42	44	47	49	50	51	57	60	67	94	95	97	101	105	108	115	116	117	119	123	124	125	126	127	128	0	0	0	0	0	0	0	0	0	0
18	21	23	25	28	29	30	52	53	54	57	60	67	97	98	99	100	115	119	121	122	128	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	21	23	25	28	29	30	52	53	54	72	76	86	87	89	91	93	94	97	98	99	100	115	121	122	125	128	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	23	25	28	29	30	35	40	42	44	47	49	50	51	98	99	100	101	105	108	115	116	117	122	123	124	126	128	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0
